"","name","address","category"
"1","FS","경상남도 사천시 곤명면 경서대로 2602","서비스,산업 > 기업"
"2","원조김할머니의령소바 본점","경상남도 창원시 의창구 용지로169번길 13 라이크빌-1","한식 > 국수"
"3","태평양에프에스","경상남도 양산시 동면 양산대로 542-68","쇼핑,유통 > 가공식품"
"4","은산컨테이너터미널 양산CYCFS","경상남도 양산시 대동로 37 은산물류창고","여객,화물운송 > 화물운송"
"5","산내들에프에스","경상남도 양산시 물금읍 가촌서로 28","제조업 > 식료품제조"
"6","연세우유 힐링FS","경상남도 창원시 성산구 외동반림로126번길 27-1","쇼핑,유통 > 우유,유제품"
"7","해드림에프에스","경상남도 창녕군 대지면 경남대로 4897-26","제조업 > 육류가공,제조"
"8","해드림에프에스","경상남도 창녕군 대지면 경남대로 4897-26","제조업 > 육류가공,제조"
"9","(주)모산에프에스","경상남도 김해시 생림면 인제로 638","쇼핑,유통 > 식료품"
"10","선우에프에스","경상남도 밀양시 하남읍 양명길 257","서비스,산업 > 기업"
"11","FS","경상남도 사천시 곤명면 경서대로 2602","서비스,산업 > 기업"
"12","원조김할머니의령소바 본점","경상남도 창원시 의창구 용지로169번길 13 라이크빌-1","한식 > 국수"
"13","태평양에프에스","경상남도 양산시 동면 양산대로 542-68","쇼핑,유통 > 가공식품"
"14","은산컨테이너터미널 양산CYCFS","경상남도 양산시 대동로 37 은산물류창고","여객,화물운송 > 화물운송"
"15","산내들에프에스","경상남도 양산시 물금읍 가촌서로 28","제조업 > 식료품제조"
"16","연세우유 힐링FS","경상남도 창원시 성산구 외동반림로126번길 27-1","쇼핑,유통 > 우유,유제품"
"17","해드림에프에스","경상남도 창녕군 대지면 경남대로 4897-26","제조업 > 육류가공,제조"
"18","해드림에프에스","경상남도 창녕군 대지면 경남대로 4897-26","제조업 > 육류가공,제조"
"19","(주)모산에프에스","경상남도 김해시 생림면 인제로 638","쇼핑,유통 > 식료품"
"20","선우에프에스","경상남도 밀양시 하남읍 양명길 257","서비스,산업 > 기업"
"21","온누리FS","경상남도 양산시 동면 금오8길 18-14","서비스,산업 > 기업"
"22","에프에스테크","경상남도 진주시 진성면 동부로1307번길 47","제조업 > 자동차부품제조"
"23","동진에프에스농업회사법인","경상남도 양산시 동면 금오8길 18-11 101호","농업 > 채소재배"
"24","신창에프에스","경상남도 김해시 칠산로179번길 90-16","쇼핑,유통 > 조미료,향신료"
"25","에프에스글로벌","경상남도 김해시 부곡동 715-1","제조업 > 기계,장비제조"
"26","건영에프에스","경상남도 김해시 인제로220번길 13-4 대원D&C","쇼핑,유통 > 주류"
"27","핸드에프에스","경상남도 양산시 장흥1길 10","서비스,산업 > 기업"
"28","신성에프에스","경상남도 창원시 의창구 평산로70번길 44-13","기계,장비제조 > 산업용기계제조"
"29","알스위트에프에스","경상남도 창원시 마산회원구 석전북18길 6","쇼핑,유통 > 식료품"
"30","산청FS","경상남도 산청군 산청읍 꽃봉산로79번길 7 진성전기","음식 > 급식"
"31","농업회사법인주식회사아라리농산","경상남도 함안군 군북면 민등길 161 (주)주광에프에스","쇼핑,유통 > 식료품"
"32","에프에스(FS)어학원","경상남도 창원시 진해구 남의로116번길 25","어학원"
"33","에프에스그룹(주)","경상남도 창원시 의창구 우곡로217번길 6","금융,보험 > 보험"
