"","name","address","category"
"1","화개장터","경상남도 하동군 화개면 탑리","쇼핑,유통 > 시장"
"2","소토","경상남도 양산시 상북면 충렬로 617","한식 > 소고기구이"
"3","롯데프리미엄아울렛 김해점","경상남도 김해시 장유로 469 롯데프리미엄아울렛김해점","쇼핑,유통 > 아울렛"
"4","롯데백화점 창원점","경상남도 창원시 성산구 중앙대로 124 롯데백화점창원점","쇼핑,유통 > 백화점"
"5","신세계백화점 마산점","경상남도 창원시 마산합포구 합포로 251 신세계백화점마산점","쇼핑,유통 > 백화점"
"6","마산어시장","경상남도 창원시 마산합포구 남성동 223-1","쇼핑,유통 > 시장"
"7","상남시장","경상남도 창원시 성산구 마디미로 28","쇼핑,유통 > 시장"
"8","통영중앙전통시장","경상남도 통영시 중앙동 233","쇼핑,유통 > 시장"
"9","이마트 양산점","경상남도 양산시 양산역6길 12 신세계이마트양산점","쇼핑,유통 > 슈퍼,마트"
"10","매암제다원","경상남도 하동군 악양면 악양서로 346-1 매암다원문화박물관","쇼핑,유통 > 차,커피"
"11","화개장터","경상남도 하동군 화개면 탑리","쇼핑,유통 > 시장"
"12","소토","경상남도 양산시 상북면 충렬로 617","한식 > 소고기구이"
"13","롯데프리미엄아울렛 김해점","경상남도 김해시 장유로 469 롯데프리미엄아울렛김해점","쇼핑,유통 > 아울렛"
"14","롯데백화점 창원점","경상남도 창원시 성산구 중앙대로 124 롯데백화점창원점","쇼핑,유통 > 백화점"
"15","신세계백화점 마산점","경상남도 창원시 마산합포구 합포로 251 신세계백화점마산점","쇼핑,유통 > 백화점"
"16","마산어시장","경상남도 창원시 마산합포구 남성동 223-1","쇼핑,유통 > 시장"
"17","상남시장","경상남도 창원시 성산구 마디미로 28","쇼핑,유통 > 시장"
"18","통영중앙전통시장","경상남도 통영시 중앙동 233","쇼핑,유통 > 시장"
"19","이마트 양산점","경상남도 양산시 양산역6길 12 신세계이마트양산점","쇼핑,유통 > 슈퍼,마트"
"20","매암제다원","경상남도 하동군 악양면 악양서로 346-1 매암다원문화박물관","쇼핑,유통 > 차,커피"
"21","신세계백화점 김해점","경상남도 김해시 김해대로 2232","쇼핑,유통 > 백화점"
"22","롯데마트 장유점","경상남도 김해시 번화1로56번길 15 롯데마트","쇼핑,유통 > 슈퍼,마트"
"23","홈플러스 김해점","경상남도 김해시 김해대로 2078 홈플러스","쇼핑,유통 > 슈퍼,마트"
"24","시티세븐몰","경상남도 창원시 의창구 원이대로 320 더시티세븐","쇼핑,유통 > 상가,아케이드"
"25","갤러리아백화점 진주점","경상남도 진주시 진주대로 1095 갤러리아백화점진주점","쇼핑,유통 > 백화점"
"26","롯데마트 진해점","경상남도 창원시 진해구 진해대로 762 진해미래쇼핑센터","쇼핑,유통 > 슈퍼,마트"
"27","이마트 창원점","경상남도 창원시 성산구 원이대로 608 창원이마트","쇼핑,유통 > 슈퍼,마트"
"28","남부시장","경상남도 양산시 중앙로 133","쇼핑,유통 > 시장"
"29","홈플러스 창원점","경상남도 창원시 의창구 창원대로 415 삼성홈플러스","쇼핑,유통 > 슈퍼,마트"
"30","이마트 김해점","경상남도 김해시 김해대로 2232","쇼핑,유통 > 슈퍼,마트"
"31","뉴코아아울렛 창원점","경상남도 창원시 의창구 창원대로397번길 6 뉴코아아울렛","쇼핑,유통 > 아울렛"
"32","교보문고 창원점","경상남도 창원시 성산구 중앙대로 104 마이우스빌딩","쇼핑,유통 > 서점"
"33","롯데몰 진주점","경상남도 진주시 동진로 440","쇼핑,유통 > 아울렛"
"34","롯데마트 양덕점","경상남도 창원시 마산회원구 삼호로 80 메트로시티 2단지","쇼핑,유통 > 슈퍼,마트"
"35","이마트 진주점","경상남도 진주시 진양호로 477","쇼핑,유통 > 슈퍼,마트"
"36","이마트 트레이더스 양산점","경상남도 양산시 평산로 16 이마트트레이더스","쇼핑,유통 > 슈퍼,마트"
"37","롯데백화점 마산점","경상남도 창원시 마산합포구 동서동로 18 롯데백화점마산점","쇼핑,유통 > 백화점"
"38","홈플러스 거제점","경상남도 거제시 장평로 12 대성산업(주) 디큐브백화점","쇼핑,유통 > 슈퍼,마트"
"39","롯데마트 거제점","경상남도 거제시 서간도길 9-9","쇼핑,유통 > 슈퍼,마트"
"40","오슬로파크 양산","경상남도 양산시 물금읍 범어리 2710-1","쇼핑,유통 > 백화점"
"41","하미앙 와인밸리","경상남도 함양군 함양읍 삼봉로 442-14","쇼핑,유통 > 주류"
"42","디오오토갤러리","경상남도 창원시 의창구 사화로 396 디오 오토 갤러리","전시,판매 > 중고차"
"43","삼천포용궁수산시장","경상남도 사천시 어시장길 64 삼천포 용궁수산시장","쇼핑,유통 > 시장"
"44","메가마트 김해점","경상남도 김해시 김해대로2492번길 20 메가마트 김해점","쇼핑,유통 > 슈퍼,마트"
"45","이마트 통영점","경상남도 통영시 광도면 죽림4로 9","쇼핑,유통 > 슈퍼,마트"
"46","대동백화점","경상남도 창원시 성산구 동산로 115 대동아파트","쇼핑,유통 > 백화점"
"47","병산수산","경상남도 고성군 삼산면 판곡리 362-1","쇼핑,유통 > 수산물"
"48","홈플러스 마산점","경상남도 창원시 마산회원구 삼호로 56 삼성홈플러스","쇼핑,유통 > 슈퍼,마트"
"49","롯데마트 창원중앙점","경상남도 창원시 성산구 중앙대로 123 롯데마트 창원중앙점","쇼핑,유통 > 슈퍼,마트"
"50","디큐브거제백화점","경상남도 거제시 장평로 12 대성산업(주) 디큐브백화점","쇼핑,유통 > 백화점"
"51","고릴라캠핑 김해점","경상남도 김해시 대청로104번길 47-24","쇼핑,유통 > 캠핑용품"
"52","홈플러스 진주점","경상남도 진주시 대신로 304","쇼핑,유통 > 슈퍼,마트"
"53","이터널저니","경상남도 남해군 남면 남서대로1179번길 40-109","쇼핑,유통 > 서점"
"54","남해전통시장","경상남도 남해군 남해읍 화전로 110","쇼핑,유통 > 시장"
"55","하동공설시장","경상남도 하동군 하동읍 시장1길 16-4","쇼핑,유통 > 시장"
"56","B급상점","경상남도 남해군 남면 남면로66번길 41","가구,인테리어 > 인테리어소품"
