"","name","address","category"
"1","가시어멍김밥","경상남도 김해시 번화1로79번길 26 102호","분식 > 김밥"
"2","스쿨푸드 창원시티세븐점","경상남도 창원시 의창구 원이대로 320 더시티세븐","음식점 > 분식"
"3","교촌치킨 봉곡 사림점","경상남도 창원시 의창구 봉곡로 118","음식점 > 치킨,닭강정"
"4","사랑해요말순씨","경상남도 김해시 가락로 145 정의격투기","한식 > 닭요리"
"5","푸드스토리찬","경상남도 김해시 율하2로115번길 11 (1층)","쇼핑,유통 > 반찬가게"
"6","투썸플레이스 장유푸드타운점","경상남도 김해시 월산로 162 네오푸드4동 105호","카페,디저트 > 카페"
"7","담을푸드","경상남도 창원시 진해구 동진로88번길 11 1층","쇼핑,유통 > 반찬가게"
"8","중부농협 로컬푸드직매장2호점","경상남도 진주시 초북로 56-6","신용조합 > 농협"
"9","BBQ창원용호점","경상남도 창원시 의창구 창이대로478번길 16-21","음식점 > 치킨,닭강정"
"10","힘찬푸드","경상남도 진주시 정촌면 화개천로 132-15 1층","쇼핑,유통 > 정육점"
"11","가시어멍김밥","경상남도 김해시 번화1로79번길 26 102호","분식 > 김밥"
"12","스쿨푸드 창원시티세븐점","경상남도 창원시 의창구 원이대로 320 더시티세븐","음식점 > 분식"
"13","교촌치킨 봉곡 사림점","경상남도 창원시 의창구 봉곡로 118","음식점 > 치킨,닭강정"
"14","사랑해요말순씨","경상남도 김해시 가락로 145 정의격투기","한식 > 닭요리"
"15","푸드스토리찬","경상남도 김해시 율하2로115번길 11 (1층)","쇼핑,유통 > 반찬가게"
"16","투썸플레이스 장유푸드타운점","경상남도 김해시 월산로 162 네오푸드4동 105호","카페,디저트 > 카페"
"17","담을푸드","경상남도 창원시 진해구 동진로88번길 11 1층","쇼핑,유통 > 반찬가게"
"18","중부농협 로컬푸드직매장2호점","경상남도 진주시 초북로 56-6","신용조합 > 농협"
"19","BBQ창원용호점","경상남도 창원시 의창구 창이대로478번길 16-21","음식점 > 치킨,닭강정"
"20","힘찬푸드","경상남도 진주시 정촌면 화개천로 132-15 1층","쇼핑,유통 > 정육점"
"21","우리홀푸드마트2호점","경상남도 김해시 진영읍 여래로20번길 50-17","쇼핑,유통 > 슈퍼,마트"
"22","푸드스토리","경상남도 통영시 한실6길 10","음식점 > 한식"
"23","거창푸드종합센터","경상남도 거창군 거창읍 거함대로 3372","쇼핑,유통 > 특산물,관광민예품"
"24","마산푸드","경상남도 창원시 마산합포구 수산1길 18 마산푸드","쇼핑,유통 > 수산물"
"25","중부농협로컬푸드직매장","경상남도 진주시 진산로 256","쇼핑,유통 > 직판장"
"26","차이나푸드스타일","경상남도 김해시 월산로 111-73","중식 > 중식당"
"27","글로벌푸드타운","경상남도 김해시 서상동","여행,명소 > 먹자거리"
