"","name","address","category"
"1","에프에스","부산광역시 사하구 하신중앙로17번길 27","서비스,산업 > 기업"
"2","에프에스","부산광역시 사하구 구평로 19-1","기계,장비제조 > 산업용기계제조"
"3","동남에프에스","부산광역시 연제구 거제천로230번길 13","서비스,산업 > 기업"
"4","성우에프에스","부산광역시 해운대구 선수촌로208번길 111","서비스,산업 > 기업"
"5","대덕에프에스","부산광역시 남구 황령대로319번길 132 수입차장비전문","서비스,산업 > 기업"
"6","도담에프에스","부산광역시 동래구 온천천로531번길 69","서비스,산업 > 기업"
"7","핸드에프에스","부산광역시 금정구 영천로 62","서비스,산업 > 기업"
"8","에프에스테크","부산광역시 금정구 반송로 395","서비스,산업 > 기업"
"9","에프에스알엔티","부산광역시 금정구 장전로 52","서비스,산업 > 기업"
"10","더존에프에스","부산광역시 사하구 하신번영로 389","서비스,산업 > 기업"
"11","에프에스","부산광역시 사하구 하신중앙로17번길 27","서비스,산업 > 기업"
"12","에프에스","부산광역시 사하구 구평로 19-1","기계,장비제조 > 산업용기계제조"
"13","동남에프에스","부산광역시 연제구 거제천로230번길 13","서비스,산업 > 기업"
"14","성우에프에스","부산광역시 해운대구 선수촌로208번길 111","서비스,산업 > 기업"
"15","대덕에프에스","부산광역시 남구 황령대로319번길 132 수입차장비전문","서비스,산업 > 기업"
"16","도담에프에스","부산광역시 동래구 온천천로531번길 69","서비스,산업 > 기업"
"17","핸드에프에스","부산광역시 금정구 영천로 62","서비스,산업 > 기업"
"18","에프에스테크","부산광역시 금정구 반송로 395","서비스,산업 > 기업"
"19","에프에스알엔티","부산광역시 금정구 장전로 52","서비스,산업 > 기업"
"20","더존에프에스","부산광역시 사하구 하신번영로 389","서비스,산업 > 기업"
"21","대성에프에스","부산광역시 기장군 정관읍 매곡길 10","서비스,산업 > 기업"
"22","해피맘에프에스","부산광역시 강서구 공항로1309번길 152","서비스,산업 > 기업"
"23","동원FS","부산광역시 해운대구 선수촌로208번길 123","서비스,산업 > 기업"
"24","태원에프에스","부산광역시 해운대구 선수촌로189번길 21","서비스,산업 > 기업"
"25","성열푸드에프에스","부산광역시 사상구 새벽로 131","서비스,산업 > 기업"
"26","호성FS","부산광역시 강서구 낙동남로533번길 75","서비스,산업 > 기업"
"27","황금향어","부산광역시 해운대구 좌동로 115 황금향어","한식 > 생선회"
"28","세진에프에스","부산광역시 강서구 미음국제1로가길 9","제조업 > 밸브제조"
"29","원광에프에스","부산광역시 사하구 다대로354번길 14","제조업 > 수산물가공,제조"
"30","우진푸드에프에스","부산광역시 사상구 새벽로 131","제조업 > 식료품제조"
"31","대성에프에스","부산광역시 기장군 정관읍 매곡길 10","서비스,산업 > 기업"
"32","해피맘에프에스","부산광역시 강서구 공항로1309번길 152","서비스,산업 > 기업"
"33","동원FS","부산광역시 해운대구 선수촌로208번길 123","서비스,산업 > 기업"
"34","태원에프에스","부산광역시 해운대구 선수촌로189번길 21","서비스,산업 > 기업"
"35","성열푸드에프에스","부산광역시 사상구 새벽로 131","서비스,산업 > 기업"
"36","호성FS","부산광역시 강서구 낙동남로533번길 75","서비스,산업 > 기업"
"37","황금향어","부산광역시 해운대구 좌동로 115 황금향어","한식 > 생선회"
"38","세진에프에스","부산광역시 강서구 미음국제1로가길 9","제조업 > 밸브제조"
"39","원광에프에스","부산광역시 사하구 다대로354번길 14","제조업 > 수산물가공,제조"
"40","우진푸드에프에스","부산광역시 사상구 새벽로 131","제조업 > 식료품제조"
"41","에프에스푸드","부산광역시 강서구 공항로767번나길 26","제조업 > 식료품제조"
"42","한국FS","부산광역시 부산진구 가야대로587번길 14","서비스,산업 > 건설업"
"43","신흥에프에스","부산광역시 부산진구 범일로 185","서비스,산업 > 건설업"
"44","은산컨테이너터미널 신항만화전산단CYCFS","부산광역시 강서구 화전산단6로136번길 31","여객,화물운송 > 페리,해운"
"45","바로에프에스","부산광역시 강서구 공항진입로12번길 91","쇼핑,유통 > 가공식품"
"46","에프에스에스앤엘","부산광역시 동래구 사직로 45","쇼핑,유통 > 야구용품"
"47","호성식품","부산광역시 강서구 화전산단4로6번길 25-10","음식 > 급식"
"48","도담에프에스","부산광역시 동래구 온천천로531번길 69","쇼핑,유통 > 식료품"
"49","바로에프에스 공장","부산광역시 강서구 낙동북로126번길 36","쇼핑,유통 > 가공식품"
"50","정성에프에스","부산광역시 사상구 새벽로 131 부산산업용재유통상가 5동 229호","쇼핑,유통 > 가공식품"
"51","동진에프에스농업회사법인","부산광역시 사상구 농산물시장로 17","쇼핑,유통 > 식료품"
"52","한신에프에스","부산광역시 강서구 공항로 319-4","쇼핑,유통 > 수산물"
"53","세모에프에스","부산광역시 강서구 경전철로 32","쇼핑,유통 > 가공식품"
"54","한농에프에스","부산광역시 사상구 강변대로 570","물류,유통 > 보관,저장"
"55","대현에프에스","부산광역시 동래구 미남로132번길 17","서비스,산업 > 무역"
"56","신방에프에스","부산광역시 사상구 농산물시장로25번길 70","쇼핑,유통 > 농수산물"
"57","한솔에프에스","부산광역시 사하구 하신번영로201번길 11","음식 > 급식"
"58","밀알에프에스(F.S)","부산광역시 사하구 하신번영로 389","서비스,산업 > 축산업"
"59","에프에스(FS)푸드","부산광역시 강서구 공항로767번나길 26","쇼핑,유통 > 패션잡화"
"60","청아에프에스(FS)","부산광역시 사상구 사상로401번길 63","카페,디저트 > 베이커리"
