"","name","address","category"
"1","롯데백화점 부산본점","부산광역시 부산진구 가야대로 772 롯데백화점부산본점","쇼핑,유통 > 백화점"
"2","신세계백화점 센텀시티점","부산광역시 해운대구 센텀남대로 35","쇼핑,유통 > 백화점"
"3","부평깡통시장","부산광역시 중구 부평1길 48","쇼핑,유통 > 시장"
"4","국제시장","부산광역시 중구 신창동4가","쇼핑,유통 > 시장"
"5","롯데프리미엄아울렛동부산점","부산광역시 기장군 기장읍 기장해안로 147","쇼핑,유통 > 아울렛"
"6","부산자갈치시장","부산광역시 중구 자갈치해안로 52 자갈치시장","쇼핑,유통 > 시장"
"7","롯데백화점 광복점","부산광역시 중구 중앙대로 2 롯데백화점광복점","쇼핑,유통 > 백화점"
"8","롯데백화점 동래점","부산광역시 동래구 중앙대로 1393","쇼핑,유통 > 백화점"
"9","스타필드 시티 명지","부산광역시 강서구 명지국제6로 168","쇼핑,유통 > 쇼핑복합시설"
"10","부산프리미엄아울렛","부산광역시 기장군 장안읍 정관로 1133","종합도소매 > 아울렛"
"11","롯데백화점 부산본점","부산광역시 부산진구 가야대로 772 롯데백화점부산본점","쇼핑,유통 > 백화점"
"12","신세계백화점 센텀시티점","부산광역시 해운대구 센텀남대로 35","쇼핑,유통 > 백화점"
"13","부평깡통시장","부산광역시 중구 부평1길 48","쇼핑,유통 > 시장"
"14","국제시장","부산광역시 중구 신창동4가","쇼핑,유통 > 시장"
"15","롯데프리미엄아울렛동부산점","부산광역시 기장군 기장읍 기장해안로 147","쇼핑,유통 > 아울렛"
"16","부산자갈치시장","부산광역시 중구 자갈치해안로 52 자갈치시장","쇼핑,유통 > 시장"
"17","롯데백화점 광복점","부산광역시 중구 중앙대로 2 롯데백화점광복점","쇼핑,유통 > 백화점"
"18","롯데백화점 동래점","부산광역시 동래구 중앙대로 1393","쇼핑,유통 > 백화점"
"19","스타필드 시티 명지","부산광역시 강서구 명지국제6로 168","쇼핑,유통 > 쇼핑복합시설"
"20","부산프리미엄아울렛","부산광역시 기장군 장안읍 정관로 1133","종합도소매 > 아울렛"
"21","NC백화점 서면점","부산광역시 부산진구 동천로 92 디씨티","쇼핑,유통 > 백화점"
"22","메가마트 동래점","부산광역시 동래구 충렬대로 197 메가마트","쇼핑,유통 > 슈퍼,마트"
