"","name","address","category"
"1","푸드엔 동래점","부산광역시 동래구 온천장로 24","쇼핑,유통 > 식료품"
"2","식자재마트동래점","부산광역시 동래구 온천장로 24","쇼핑,유통 > 식료품"
"3","푸드엔 부산남부사업소","부산광역시 남구 대연동 324-13","쇼핑,유통 > 식료품"
"4","푸드엔 반여시장점","부산광역시 해운대구 수영강변대로 626 농산물 도매시장","쇼핑,유통 > 식료품"
"5","진이찬방 부산신주례점","부산광역시 사상구 백양대로 493 양지아카데미텔","식료품 > 반찬가게"
"6","보람푸드","부산광역시 남구 못골번영로 67","쇼핑,유통 > 가공식품"
"7","참손푸드","부산광역시 서구 원양로 171","쇼핑,유통 > 가공식품"
"8","푸드케어 롯데백화점 동래점","부산광역시 동래구 중앙대로 1393 롯데백화점 동래점 6F 푸드케어 이유식카페","쇼핑,유통 > 우유,유제품"
"9","푸드엔부산남부사업소","부산광역시 남구 수영로266번길 7","쇼핑,유통 > 식료품"
"10","첨단푸드","부산광역시 부산진구 동성로118번길 39","쇼핑,유통 > 가공식품"
"11","푸드엔 동래점","부산광역시 동래구 온천장로 24","쇼핑,유통 > 식료품"
"12","식자재마트동래점","부산광역시 동래구 온천장로 24","쇼핑,유통 > 식료품"
"13","푸드엔 부산남부사업소","부산광역시 남구 대연동 324-13","쇼핑,유통 > 식료품"
"14","푸드엔 반여시장점","부산광역시 해운대구 수영강변대로 626 농산물 도매시장","쇼핑,유통 > 식료품"
"15","진이찬방 부산신주례점","부산광역시 사상구 백양대로 493 양지아카데미텔","식료품 > 반찬가게"
"16","보람푸드","부산광역시 남구 못골번영로 67","쇼핑,유통 > 가공식품"
"17","참손푸드","부산광역시 서구 원양로 171","쇼핑,유통 > 가공식품"
"18","푸드케어 롯데백화점 동래점","부산광역시 동래구 중앙대로 1393 롯데백화점 동래점 6F 푸드케어 이유식카페","쇼핑,유통 > 우유,유제품"
"19","푸드엔부산남부사업소","부산광역시 남구 수영로266번길 7","쇼핑,유통 > 식료품"
"20","첨단푸드","부산광역시 부산진구 동성로118번길 39","쇼핑,유통 > 가공식품"
"21","부광푸드","부산광역시 사하구 장림번영로 72","쇼핑,유통 > 식품첨가물"
"22","RK유통","부산광역시 부산진구 동평로229번길 17","쇼핑,유통 > 수입식품"
"23","재팬푸드몰","부산광역시 기장군 일광면 장곡길 114","쇼핑,유통 > 수입식품"
"24","해누리푸드시스템","부산광역시 사하구 장평로 39","쇼핑,유통 > 가공식품"
"25","해운대푸드마켓","부산광역시 해운대구 재반로 79","쇼핑,유통 > 식료품"
"26","우진푸드","부산광역시 강서구 녹산산단362로 37","쇼핑,유통 > 가공식품"
"27","SH푸드시스템","부산광역시 강서구 대저중앙로393번길 56-2","쇼핑,유통 > 가공식품"
"28","하몽푸드","부산광역시 사상구 장인로37번길 15","쇼핑,유통 > 가공식품"
"29","제이앤푸드","부산광역시 금정구 금사로 222 (주)한백","쇼핑,유통 > 가공식품"
"30","푸드판다","부산광역시 동래구 안락로 90","쇼핑,유통 > 식료품"
"31","엔에이치푸드","부산광역시 강서구 맥도길415번길 139","쇼핑,유통 > 수입식품"
"32","나래푸드원","부산광역시 기장군 기장읍 차성로365번길 32","쇼핑,유통 > 가공식품"
"33","그린푸드","부산광역시 강서구 녹산산단407로 65","쇼핑,유통 > 가공식품"
"34","만나푸드","부산광역시 금정구 공단동로 13","쇼핑,유통 > 조미료,향신료"
"35","사하사랑나눔푸드마켓","부산광역시 사하구 다대로 544","쇼핑,유통 > 식료품"
"36","도쿄마트","부산광역시 동래구 충렬대로237번길 22","쇼핑,유통 > 수입식품"
"37","이엔푸드","부산광역시 남구 신선로 215","쇼핑,유통 > 수입식품"
"38","부사네 슬로우푸드","부산광역시 연제구 과정로5번길 22","쇼핑,유통 > 반찬가게"
"39","행운푸드","부산광역시 기장군 철마면 안평로33번가길 16 행운푸드","쇼핑,유통 > 가공식품"
