"","name","address","category"
"1","국회의사당","서울특별시 영등포구 의사당대로 1","공공,사회기관 > 중앙행정기관"
"2","이혼전문변호사 최유나변호사","서울특별시 서초구 반포대로30길 81 9층 902호","전문,기술서비스 > 법률사무소"
"3","법무법인 법승","서울특별시 서초구 서초대로 269","전문,기술서비스 > 법률사무소"
"4","법률사무소 나란","서울특별시 송파구 송파대로 167 문정역테라타워 A동 315호","전문,기술서비스 > 법률사무소"
"5","YK법률사무소","서울특별시 서초구 서초중앙로 138 우림빌딩 6층","전문,기술서비스 > 법률사무소"
"6","법무법인 더쌤","서울특별시 서초구 서초중앙로26길 13 4층","전문,기술서비스 > 법률사무소"
"7","법무법인 이현","서울특별시 서초구 사임당로 32 재우빌딩 7층","전문,기술서비스 > 법률사무소"
"8","법무법인동인","서울특별시 서초구 서초대로74길 4 삼성생명 서초타워","전문,기술서비스 > 법률사무소"
"9","이혼전문변호사 법무법인신세계로","서울특별시 서초구 법원로 16 정곡빌딩동관 207호","전문,기술서비스 > 법률사무소"
"10","법무법인 정현","서울특별시 서초구 남부순환로350길 71 2층","전문,기술서비스 > 법률사무소"
"11","국회의사당","서울특별시 영등포구 의사당대로 1","공공,사회기관 > 중앙행정기관"
"12","이혼전문변호사 최유나변호사","서울특별시 서초구 반포대로30길 81 9층 902호","전문,기술서비스 > 법률사무소"
"13","법무법인 법승","서울특별시 서초구 서초대로 269","전문,기술서비스 > 법률사무소"
"14","법률사무소 나란","서울특별시 송파구 송파대로 167 문정역테라타워 A동 315호","전문,기술서비스 > 법률사무소"
"15","YK법률사무소","서울특별시 서초구 서초중앙로 138 우림빌딩 6층","전문,기술서비스 > 법률사무소"
"16","법무법인 더쌤","서울특별시 서초구 서초중앙로26길 13 4층","전문,기술서비스 > 법률사무소"
"17","법무법인 이현","서울특별시 서초구 사임당로 32 재우빌딩 7층","전문,기술서비스 > 법률사무소"
"18","법무법인동인","서울특별시 서초구 서초대로74길 4 삼성생명 서초타워","전문,기술서비스 > 법률사무소"
"19","이혼전문변호사 법무법인신세계로","서울특별시 서초구 법원로 16 정곡빌딩동관 207호","전문,기술서비스 > 법률사무소"
"20","법무법인 정현","서울특별시 서초구 남부순환로350길 71 2층","전문,기술서비스 > 법률사무소"
"21","종합법률사무소예솔","서울특별시 송파구 법원로 90 파트너스2 308호","전문,기술서비스 > 법률사무소"
"22","법무법인 중앙","서울특별시 서초구 서초대로46길 3 2층","전문,기술서비스 > 법률사무소"
"23","로엘법무법인","서울특별시 서초구 서초대로 274 3000타워 6층 로엘법무법인","전문,기술서비스 > 법률사무소"
"24","김앤장","서울특별시 종로구 사직로8길 39","전문,기술서비스 > 법률사무소"
"25","법무법인 율촌","서울특별시 강남구 테헤란로 521","전문,기술서비스 > 법률사무소"
