"","name","address","category"
"1","예준푸드","울산광역시 남구 봉월로14번길 56","서비스,산업 > 기업"
"2","청아푸드","울산광역시 남구 산업로340번길 22","서비스,산업 > 기업"
"3","대성푸드 참도시락","울산광역시 남구 삼산로352번길 14","제조업 > 도시락,조리식품제조"
"4","화산타운&푸드","울산광역시 울주군 서생면 화산마을1길 29-11","서비스,산업 > 기업"
"5","학성그린푸드","울산광역시 중구 새벽시장2길 8","제조업 > 육류가공,제조"
"6","푸드공공칠","울산광역시 울주군 웅촌면 저리3길 4","서비스,산업 > 기업"
"7","온누리푸드시스템","울산광역시 남구 처용로 10","서비스,산업 > 기업"
"8","파워푸드","울산광역시 남구 삼산로318번길 25","서비스,산업 > 기업"
"9","한마음푸드","울산광역시 동구 바드래1길 30 한마음회관 2층","서비스,산업 > 기업"
"10","한솥밥푸드서비스","울산광역시 남구 돋질로 48 2층","서비스,산업 > 기업"
"11","예준푸드","울산광역시 남구 봉월로14번길 56","서비스,산업 > 기업"
"12","청아푸드","울산광역시 남구 산업로340번길 22","서비스,산업 > 기업"
"13","대성푸드 참도시락","울산광역시 남구 삼산로352번길 14","제조업 > 도시락,조리식품제조"
"14","화산타운&푸드","울산광역시 울주군 서생면 화산마을1길 29-11","서비스,산업 > 기업"
"15","학성그린푸드","울산광역시 중구 새벽시장2길 8","제조업 > 육류가공,제조"
"16","푸드공공칠","울산광역시 울주군 웅촌면 저리3길 4","서비스,산업 > 기업"
"17","온누리푸드시스템","울산광역시 남구 처용로 10","서비스,산업 > 기업"
"18","파워푸드","울산광역시 남구 삼산로318번길 25","서비스,산업 > 기업"
"19","한마음푸드","울산광역시 동구 바드래1길 30 한마음회관 2층","서비스,산업 > 기업"
"20","한솥밥푸드서비스","울산광역시 남구 돋질로 48 2층","서비스,산업 > 기업"
"21","123푸드","울산광역시 남구 남중로74번길 14","기업 > 프랜차이즈본사"
"22","온누리푸드서비스","울산광역시 남구 처용로 10","서비스,산업 > 기업"
"23","샬롬푸드","울산광역시 남구 정동로42번길 10","서비스,산업 > 기업"
"24","푸드스토리","울산광역시 북구 농서로 807-6","서비스,산업 > 기업"
"25","세기푸드써비스","울산광역시 남구 삼산로392번길 21-2","서비스,산업 > 기업"
"26","명가도시락푸드시스템","울산광역시 울주군 서생면 연산3길 29","제조업 > 식료품제조"
"27","시에스푸드","울산광역시 중구 함월로 141 삼진건설(주)","서비스,산업 > 기업"
"28","상상푸드","울산광역시 남구 대학로108번길 5","서비스,산업 > 기업"
"29","빅토르푸드","울산광역시 남구 번영로156번길 14","서비스,산업 > 기업"
"30","그린웰푸드","울산광역시 울주군 웅촌면 고연로 98-4","제조업 > 수산물가공,제조"
"31","CMF치킨","울산광역시 중구 내황1길 11","음식점 > 치킨,닭강정"
"32","행복한푸드서비스","울산광역시 북구 진장9길 24-11","제조업 > 도시락,조리식품제조"
"33","썬앤푸드","울산광역시 남구 삼호로 2-1","서비스,산업 > 기업"
"34","세방황칠푸드","울산광역시 울주군 삼남면 남상평2길 34-8","제조업 > 육류가공,제조"
"35","푸드란","울산광역시 중구 성안11길 31 205호","서비스,산업 > 기업"
"36","길푸드시스템","울산광역시 울주군 언양읍 방천7길 4","서비스,산업 > 기업"
"37","참한푸드","울산광역시 중구 성안15길 62","서비스,산업 > 기업"
"38","명문푸드서비스","울산광역시 남구 화합로125번길 10 305호","서비스,산업 > 기업"
"39","아라푸드","울산광역시 남구 삼산로318번길 14","서비스,산업 > 기업"
"40","디에스푸드원","울산광역시 울주군 두서면 활천산업1길 152 승일테크유한회사","서비스,산업 > 기업"
"41","우리푸드시스템","울산광역시 중구 중앙3길 6 성남프라자 812호","서비스,산업 > 기업"
"42","선한푸드앤컬처","울산광역시 북구 진장유통로 90","서비스,산업 > 기업"
"43","기린푸드","울산광역시 남구 와와로 25","서비스,산업 > 기업"
"44","진푸드","울산광역시 울주군 웅촌면 고연리","서비스,산업 > 기업"
"45","미래푸드서비스","울산광역시 중구 구교로 18","서비스,산업 > 기업"
"46","부금푸드","울산광역시 남구 두왕로34번길 28-21","서비스,산업 > 기업"
"47","오남매푸드","울산광역시 북구 호계동","서비스,산업 > 기업"
"48","금빛푸드","울산광역시 중구 성안10길 48","서비스,산업 > 기업"
"49","제이엠에스푸드","울산광역시 울주군 웅촌면 정주권로 187","서비스,산업 > 기업"
"50","번영푸드","울산광역시 남구 돋질로 445","서비스,산업 > 기업"
"51","다미푸드시스템","울산광역시 남구 정광로21번길 2","제조업 > 도시락,조리식품제조"
"52","햇쌀푸드","울산광역시 울주군 상북면 능산1길 11-7","제조업 > 식료품제조"
"53","삼육오푸드원","울산광역시 울주군 상북면 지화길 108","제조업 > 육류가공,제조"
"54","다누리푸드","울산광역시 남구 삼산로392번길 22","제조업 > 식료품제조"
"55","코리아푸드","울산광역시 울주군 언양읍 반구대로 877","제조업 > 식료품제조"
"56","다원진푸드","울산광역시 중구 성안15길 62 1층","서비스,산업 > 제조업"
"57","일분푸드시스템","울산광역시 북구 산성로 40","제조업 > 자동판매기제조"
"58","윤연당푸드","울산광역시 울주군 웅촌면 새초천길 27","제조업 > 식료품제조"
"59","DM푸드","울산광역시 남구 정동로 123","제조업 > 식료품제조"
"60","토담푸드","울산광역시 중구 명륜로 92","제조업 > 식료품제조"
"61","다미푸드시스템","울산광역시 남구 정광로21번길 2","제조업 > 도시락,조리식품제조"
"62","햇쌀푸드","울산광역시 울주군 상북면 능산1길 11-7","제조업 > 식료품제조"
"63","삼육오푸드원","울산광역시 울주군 상북면 지화길 108","제조업 > 육류가공,제조"
"64","다누리푸드","울산광역시 남구 삼산로392번길 22","제조업 > 식료품제조"
"65","코리아푸드","울산광역시 울주군 언양읍 반구대로 877","제조업 > 식료품제조"
"66","다원진푸드","울산광역시 중구 성안15길 62 1층","서비스,산업 > 제조업"
"67","일분푸드시스템","울산광역시 북구 산성로 40","제조업 > 자동판매기제조"
"68","윤연당푸드","울산광역시 울주군 웅촌면 새초천길 27","제조업 > 식료품제조"
"69","DM푸드","울산광역시 남구 정동로 123","제조업 > 식료품제조"
"70","토담푸드","울산광역시 중구 명륜로 92","제조업 > 식료품제조"
"71","원푸드","울산광역시 중구 학성4길 58","제조업 > 식료품제조"
"72","뼈누리푸드","울산광역시 울주군 웅촌면 와지공단1길 18-34","제조업 > 육류가공,제조"
"73","행복푸드","울산광역시 남구 삼산로346번길 13-1","제조업 > 식료품제조"
"74","씨엔에스푸드","울산광역시 울주군 삼남면 상방로 48","제조업 > 식료품제조"
"75","에이치제이푸드","울산광역시 울주군 범서읍 구영로 178","제조업 > 육류가공,제조"
"76","그린푸드시스템","울산광역시 울주군 삼남면 연봉길 8","제조업 > 식료품제조"
"77","금자탑푸드","울산광역시 북구 진장동 480","제조업 > 식료품제조"
"78","오복푸드","울산광역시 울주군 온산읍 신경1길 23","제조업 > 식료품제조"
"79","모손푸드","울산광역시 중구 구루미7길 39","제조업 > 식료품제조"
"80","엠씨푸드","울산광역시 남구 화합로71번길 4","제조업 > 식료품제조"
"81","금동이푸드","울산광역시 북구 동대12길 6","제조업 > 식료품제조"
"82","명성식당푸드","울산광역시 북구 이화1길 19","제조업 > 식료품제조"
"83","한솔푸드","울산광역시 울주군 청량읍 상남1길 42","음식 > 급식"
"84","금정푸드","울산광역시 남구 남중로94번길 17-1","음식 > 급식"
"85","현대그린푸드현대중공업울산점","울산광역시 동구 전하동 1","음식 > 급식"
"86","백경푸드","울산광역시 남구 번영로166번길 24 1층","음식 > 급식"
"87","혜민푸드","울산광역시 울주군 언양읍 북문7길 5-1","음식 > 급식"
"88","구룡푸드","울산광역시 남구 장생포고래로155번길 7","음식 > 급식"
"89","현대그린푸드","울산광역시 북구 무룡1로 44-9","서비스,산업 > 물류,유통"
"90","오감푸드서비스","울산광역시 남구 돋질로389번길 8","음식 > 급식"
"91","주원그린푸드","울산광역시 울주군 언양읍 방천4길 12","음식 > 급식"
"92","대원푸드시스템","울산광역시 북구 효암로 84-13","음식 > 급식"
"93","현대그린푸드 현대미포조선울산지점","울산광역시 동구 방어진순환도로 100","음식 > 급식"
"94","산내들푸드서비스","울산광역시 남구 삼산로392번길 17-9","음식 > 급식"
"95","웰푸드스토리","울산광역시 남구 삼산로392번길 17-9 2층","음식 > 급식"
"96","대한푸드","울산광역시 남구 신정로204번길 34","음식 > 급식"
"97","미래푸드서비스","울산광역시 남구 삼산로46번길 3","음식 > 급식"
"98","오감푸드","울산광역시 북구 호계매곡1로 31","음식 > 급식"
